F1,Year,Artist Name,Track,Time,Genre,Date Entered,Date Peaked,Week,Ranking,Find Delta Date
243,2000,Q-Tip,Breathe And Stop,12/30/99 4:06,Rock,1/22/00,1/22/00,x1st.week,71,0
232,2000,Nine Days,If I Am,12/30/99 4:18,Rock,12/2/00,12/2/00,x1st.week,68,0
431,2000,"Carey, Mariah",Crybaby,12/30/99 5:19,Rock,6/24/00,6/24/00,x2nd.week,34,0
916,2000,"Hollister, Dave",Can't Stay,12/30/99 6:17,Rock,3/25/00,3/25/00,x3rd.week,93,0
492,2000,Pearl Jam,Nothing As It Seems,12/30/99 5:20,Rock,5/13/00,5/13/00,x2nd.week,70,0
175,2000,Pearl Jam,Nothing As It Seems,12/30/99 5:20,Rock,5/13/00,5/13/00,x1st.week,49,0
549,2000,Nine Days,If I Am,12/30/99 4:18,Rock,12/2/00,12/2/00,x2nd.week,68,0
560,2000,Q-Tip,Breathe And Stop,12/30/99 4:06,Rock,1/22/00,1/22/00,x2nd.week,71,0
564,2000,"Wallflowers, The",Sleepwalker,12/30/99 3:29,Rock,10/28/00,10/28/00,x2nd.week,73,0
599,2000,"Hollister, Dave",Can't Stay,12/30/99 6:17,Rock,3/25/00,3/25/00,x2nd.week,84,0
616,2000,En Vogue,Riddle,12/30/99 5:10,Rock,6/17/00,6/17/00,x2nd.week,92,0
114,2000,"Carey, Mariah",Crybaby,12/30/99 5:19,Rock,6/24/00,6/24/00,x1st.week,28,0
623,2000,De La Soul,All Good?,12/30/99 5:02,Rap,12/23/00,12/23/00,x2nd.week,96,0
625,2000,"Braxton, Toni",Spanish Guitar,12/30/99 4:24,Rock,12/2/00,12/2/00,x2nd.week,98,0
626,2000,Tuesday,I Know,12/30/99 4:06,Rock,12/30/00,12/30/00,x2nd.week,98,0
630,2000,"Smith, Will",Freakin' It,12/30/99 3:58,Rap,2/12/00,2/12/00,x2nd.week,99,0
631,2000,Zombie Nation,Kernkraft 400,12/30/99 3:30,Rock,9/2/00,9/2/00,x2nd.week,99,0
893,2000,"Clark, Terri",A Little Gasoline,12/30/99 3:07,Country,12/16/00,12/16/00,x3rd.week,88,0
632,2000,"Eastsidaz, The",Got Beef,12/30/99 3:58,Rap,7/1/00,7/1/00,x2nd.week,99,0
748,2000,"Carey, Mariah",Crybaby,12/30/99 5:19,Rock,6/24/00,6/24/00,x3rd.week,48,0
809,2000,Pearl Jam,Nothing As It Seems,12/30/99 5:20,Rock,5/13/00,5/13/00,x3rd.week,84,0
866,2000,Nine Days,If I Am,12/30/99 4:18,Rock,12/2/00,12/2/00,x3rd.week,81,0
877,2000,Q-Tip,Breathe And Stop,12/30/99 4:06,Rock,1/22/00,1/22/00,x3rd.week,81,0
881,2000,"Wallflowers, The",Sleepwalker,12/30/99 3:29,Rock,10/28/00,10/28/00,x3rd.week,74,0
884,2000,Lox,"Ryde or Die, Chick",12/30/99 3:56,Rap,3/18/00,3/25/00,x3rd.week,80,7
298,2000,"Price, Kelly",Love Sets You Free,12/30/99 3:46,Rock,5/13/00,5/20/00,x1st.week,92,7
878,2000,"Rimes, LeAnn",Can't Fight The Moonlight,12/30/99 3:33,Country,9/9/00,9/16/00,x3rd.week,79,7
294,2000,"Levert, Gerald",Baby U Are,12/30/99 4:10,R&B,8/19/00,8/26/00,x1st.week,96,7
291,2000,"Spencer, Tracie",Still In My Heart,12/30/99 4:11,Rock,3/4/00,3/11/00,x1st.week,95,7
941,2000,"Larrieux, Amel",Get Up,12/30/99 4:02,R&B,3/4/00,3/11/00,x3rd.week,97,7
289,2000,Eve,Got It All,12/30/99 3:48,Rap,7/15/00,7/22/00,x1st.week,89,7
302,2000,Trina,Pull Over,12/30/99 2:58,Rap,9/9/00,9/16/00,x1st.week,97,7
287,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),12/30/99 3:15,R&B,9/2/00,9/9/00,x1st.week,91,7
285,2000,"Paisley, Brad",Me Neither,12/30/99 3:19,Country,5/13/00,5/20/00,x1st.week,87,7
284,2000,LFO,West Side Story,12/30/99 3:27,Rock,8/5/00,8/12/00,x1st.week,96,7
939,2000,"Sheist, Shade",Where I Wanna Be,12/30/99 4:16,Rap,11/11/00,11/18/00,x3rd.week,99,7
281,2000,Juvenile,U Understand,12/30/99 3:51,Rap,2/5/00,2/12/00,x1st.week,85,7
865,2000,"Martin, Ricky",Private Emotion,12/30/99 4:02,Latin,3/11/00,3/18/00,x3rd.week,71,7
305,2000,"Sheist, Shade",Where I Wanna Be,12/30/99 4:16,Rap,11/11/00,11/18/00,x1st.week,96,7
936,2000,Trina,Pull Over,12/30/99 2:58,Rap,9/9/00,9/16/00,x3rd.week,96,7
307,2000,"Larrieux, Amel",Get Up,12/30/99 4:02,R&B,3/4/00,3/11/00,x1st.week,100,7
932,2000,"Price, Kelly",Love Sets You Free,12/30/99 3:46,Rock,5/13/00,5/20/00,x3rd.week,98,7
310,2000,LL Cool J,Imagine That,12/30/99 4:00,Rap,8/12/00,8/19/00,x1st.week,99,7
260,2000,"Brock, Chad",A Country Boy Can Survive,12/30/99 3:54,Country,1/1/00,1/8/00,x1st.week,93,7
928,2000,"Levert, Gerald",Baby U Are,12/30/99 4:10,R&B,8/19/00,8/26/00,x3rd.week,92,7
258,2000,Lil' Kim,How Many Licks?,12/30/99 3:50,Rap,11/25/00,12/2/00,x1st.week,79,7
255,2000,"Bega, Lou",Tricky Tricky,12/30/99 3:23,Rock,1/29/00,2/5/00,x1st.week,75,7
925,2000,"Spencer, Tracie",Still In My Heart,12/30/99 4:11,Rock,3/4/00,3/11/00,x3rd.week,98,7
923,2000,Eve,Got It All,12/30/99 3:48,Rap,7/15/00,7/22/00,x3rd.week,88,7
921,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),12/30/99 3:15,R&B,9/2/00,9/9/00,x3rd.week,92,7
244,2000,"Rimes, LeAnn",Can't Fight The Moonlight,12/30/99 3:33,Country,9/9/00,9/16/00,x1st.week,82,7
847,2000,LFO,I Don't Wanna Kiss You Goodnight,12/30/99 5:00,Rock,4/15/00,4/22/00,x3rd.week,68,7
919,2000,"Paisley, Brad",Me Neither,12/30/99 3:19,Country,5/13/00,5/20/00,x3rd.week,90,7
918,2000,LFO,West Side Story,12/30/99 3:27,Rock,8/5/00,8/12/00,x3rd.week,88,7
843,2000,Puff Daddy,Best Friend,12/30/99 5:33,Rap,2/12/00,2/19/00,x3rd.week,62,7
231,2000,"Martin, Ricky",Private Emotion,12/30/99 4:02,Latin,3/11/00,3/18/00,x1st.week,76,7
214,2000,SheDaisy,Deck The Halls,12/30/99 3:46,Country,12/25/99,1/1/00,x1st.week,97,7
213,2000,LFO,I Don't Wanna Kiss You Goodnight,12/30/99 5:00,Rock,4/15/00,4/22/00,x1st.week,63,7
209,2000,Puff Daddy,Best Friend,12/30/99 5:33,Rap,2/12/00,2/19/00,x1st.week,65,7
915,2000,Juvenile,U Understand,12/30/99 3:51,Rap,2/5/00,2/12/00,x3rd.week,100,7
526,2000,Puff Daddy,Best Friend,12/30/99 5:33,Rap,2/12/00,2/19/00,x2nd.week,59,7
530,2000,LFO,I Don't Wanna Kiss You Goodnight,12/30/99 5:00,Rock,4/15/00,4/22/00,x2nd.week,61,7
531,2000,SheDaisy,Deck The Halls,12/30/99 3:46,Country,12/25/99,1/1/00,x2nd.week,61,7
548,2000,"Martin, Ricky",Private Emotion,12/30/99 4:02,Latin,3/11/00,3/18/00,x2nd.week,67,7
561,2000,"Rimes, LeAnn",Can't Fight The Moonlight,12/30/99 3:33,Country,9/9/00,9/16/00,x2nd.week,71,7
567,2000,Lox,"Ryde or Die, Chick",12/30/99 3:56,Rap,3/18/00,3/25/00,x2nd.week,73,7
889,2000,"Bega, Lou",Tricky Tricky,12/30/99 3:23,Rock,1/29/00,2/5/00,x3rd.week,87,7
572,2000,"Bega, Lou",Tricky Tricky,12/30/99 3:23,Rock,1/29/00,2/5/00,x2nd.week,74,7
575,2000,Lil' Kim,How Many Licks?,12/30/99 3:50,Rap,11/25/00,12/2/00,x2nd.week,75,7
250,2000,Lox,"Ryde or Die, Chick",12/30/99 3:56,Rap,3/18/00,3/25/00,x1st.week,86,7
577,2000,"Brock, Chad",A Country Boy Can Survive,12/30/99 3:54,Country,1/1/00,1/8/00,x2nd.week,75,7
598,2000,Juvenile,U Understand,12/30/99 3:51,Rap,2/5/00,2/12/00,x2nd.week,83,7
601,2000,LFO,West Side Story,12/30/99 3:27,Rock,8/5/00,8/12/00,x2nd.week,84,7
602,2000,"Paisley, Brad",Me Neither,12/30/99 3:19,Country,5/13/00,5/20/00,x2nd.week,85,7
604,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),12/30/99 3:15,R&B,9/2/00,9/9/00,x2nd.week,87,7
606,2000,Eve,Got It All,12/30/99 3:48,Rap,7/15/00,7/22/00,x2nd.week,88,7
608,2000,"Spencer, Tracie",Still In My Heart,12/30/99 4:11,Rock,3/4/00,3/11/00,x2nd.week,88,7
611,2000,"Levert, Gerald",Baby U Are,12/30/99 4:10,R&B,8/19/00,8/26/00,x2nd.week,89,7
615,2000,"Price, Kelly",Love Sets You Free,12/30/99 3:46,Rock,5/13/00,5/20/00,x2nd.week,91,7
619,2000,Trina,Pull Over,12/30/99 2:58,Rap,9/9/00,9/16/00,x2nd.week,93,7
622,2000,"Sheist, Shade",Where I Wanna Be,12/30/99 4:16,Rap,11/11/00,11/18/00,x2nd.week,95,7
624,2000,"Larrieux, Amel",Get Up,12/30/99 4:02,R&B,3/4/00,3/11/00,x2nd.week,97,7
627,2000,LL Cool J,Imagine That,12/30/99 4:00,Rap,8/12/00,8/19/00,x2nd.week,98,7
894,2000,"Brock, Chad",A Country Boy Can Survive,12/30/99 3:54,Country,1/1/00,1/8/00,x3rd.week,92,7
892,2000,Lil' Kim,How Many Licks?,12/30/99 3:50,Rap,11/25/00,12/2/00,x3rd.week,77,7
683,2000,Kenny G,Auld Lang Syne (The Millenium Mix),12/30/99 7:50,Jazz,12/25/99,1/8/00,x3rd.week,7,14
491,2000,"John, Elton",Someday Out Of The Blue,12/30/99 4:41,Rock,4/22/00,5/6/00,x2nd.week,56,14
"1,000",2000,Kenny G,Auld Lang Syne (The Millenium Mix),12/30/99 7:50,Jazz,12/25/99,1/8/00,x4th.week,8,14
896,2000,"Byrd, Tracy",Put Your Hand In Mine,12/30/99 4:30,Country,1/29/00,2/12/00,x3rd.week,76,14
292,2000,Nu Flavor,3 Little Words,12/30/99 3:54,R&B,6/3/00,6/17/00,x1st.week,97,14
875,2000,"Kravitz, Lenny",I Belong To You,12/30/99 4:17,Rock,3/25/00,4/8/00,x3rd.week,71,14
49,2000,Kenny G,Auld Lang Syne (The Millenium Mix),12/30/99 7:50,Jazz,12/25/99,1/8/00,x1st.week,89,14
709,2000,Guy,Dancin',12/30/99 4:08,R&B,12/18/99,1/1/00,x3rd.week,19,14
902,2000,"Allan, Gary",Smoke Rings In The Dark,12/30/99 4:18,Country,1/22/00,2/5/00,x3rd.week,76,14
286,2000,"Carter, Torrey",Take That,12/30/99 3:43,Rock,6/24/00,7/8/00,x1st.week,94,14
871,2000,"Offspring, The",Original Prankster,12/30/99 3:42,Rock,11/25/00,12/9/00,x3rd.week,70,14
283,2000,Tamia,Can't Go For That,12/30/99 3:38,Rock,9/16/00,9/30/00,x1st.week,90,14
117,2000,Madonna,American Pie,12/30/99 4:30,Rock,2/19/00,3/4/00,x1st.week,43,14
860,2000,Jay-Z,Do It Again (Put Ya Hands Up),12/30/99 3:47,Rap,1/15/00,1/29/00,x3rd.week,65,14
268,2000,"Allan, Gary",Smoke Rings In The Dark,12/30/99 4:18,Country,1/22/00,2/5/00,x1st.week,80,14
714,2000,Hanson,This Time Around,12/30/99 4:14,Country,4/22/00,5/6/00,x3rd.week,20,14
262,2000,"Byrd, Tracy",Put Your Hand In Mine,12/30/99 4:30,Country,1/29/00,2/12/00,x1st.week,81,14
853,2000,Joe,Treat Her Like A Lady,12/30/99 4:12,Rock,8/5/00,8/19/00,x3rd.week,63,14
256,2000,Big Punisher,It's So Hard,12/30/99 3:25,Rap,4/22/00,5/6/00,x1st.week,96,14
852,2000,Kumbia Kings,U Don't Love Me,12/30/99 3:50,R&B,3/4/00,3/18/00,x3rd.week,62,14
609,2000,Nu Flavor,3 Little Words,12/30/99 3:54,R&B,6/3/00,6/17/00,x2nd.week,97,14
926,2000,Nu Flavor,3 Little Words,12/30/99 3:54,R&B,6/3/00,6/17/00,x3rd.week,89,14
850,2000,"Simpson, Jessica",Where You Are,12/30/99 3:51,Rock,4/1/00,4/15/00,x3rd.week,62,14
890,2000,Big Punisher,It's So Hard,12/30/99 3:25,Rap,4/22/00,5/6/00,x3rd.week,75,14
603,2000,"Carter, Torrey",Take That,12/30/99 3:43,Rock,6/24/00,7/8/00,x2nd.week,88,14
920,2000,"Carter, Torrey",Take That,12/30/99 3:43,Rock,6/24/00,7/8/00,x3rd.week,86,14
751,2000,Madonna,American Pie,12/30/99 4:30,Rock,2/19/00,3/4/00,x3rd.week,29,14
600,2000,Tamia,Can't Go For That,12/30/99 3:38,Rock,9/16/00,9/30/00,x2nd.week,86,14
246,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),12/30/99 4:22,Rap,2/26/00,3/11/00,x1st.week,87,14
366,2000,Kenny G,Auld Lang Syne (The Millenium Mix),12/30/99 7:50,Jazz,12/25/99,1/8/00,x2nd.week,89,14
849,2000,Splender,I Think God Can Explain,12/30/99 3:55,R&B,6/10/00,6/24/00,x3rd.week,62,14
241,2000,"Kravitz, Lenny",I Belong To You,12/30/99 4:17,Rock,3/25/00,4/8/00,x1st.week,78,14
237,2000,"Offspring, The",Original Prankster,12/30/99 3:42,Rock,11/25/00,12/9/00,x1st.week,74,14
845,2000,Usher,Pop Ya Collar,12/30/99 3:36,Rock,11/4/00,11/18/00,x3rd.week,60,14
75,2000,Guy,Dancin',12/30/99 4:08,R&B,12/18/99,1/1/00,x1st.week,46,14
392,2000,Guy,Dancin',12/30/99 4:08,R&B,12/18/99,1/1/00,x2nd.week,29,14
226,2000,Jay-Z,Do It Again (Put Ya Hands Up),12/30/99 3:47,Rap,1/15/00,1/29/00,x1st.week,95,14
397,2000,Hanson,This Time Around,12/30/99 4:14,Country,4/22/00,5/6/00,x2nd.week,22,14
585,2000,"Allan, Gary",Smoke Rings In The Dark,12/30/99 4:18,Country,1/22/00,2/5/00,x2nd.week,78,14
219,2000,Joe,Treat Her Like A Lady,12/30/99 4:12,Rock,8/5/00,8/19/00,x1st.week,77,14
218,2000,Kumbia Kings,U Don't Love Me,12/30/99 3:50,R&B,3/4/00,3/18/00,x1st.week,81,14
216,2000,"Simpson, Jessica",Where You Are,12/30/99 3:51,Rock,4/1/00,4/15/00,x1st.week,73,14
579,2000,"Byrd, Tracy",Put Your Hand In Mine,12/30/99 4:30,Country,1/29/00,2/12/00,x2nd.week,77,14
215,2000,Splender,I Think God Can Explain,12/30/99 3:55,R&B,6/10/00,6/24/00,x1st.week,71,14
211,2000,Usher,Pop Ya Collar,12/30/99 3:36,Rock,11/4/00,11/18/00,x1st.week,68,14
801,2000,Vitamin C,The Itch,12/30/99 3:30,Rock,12/2/00,12/16/00,x3rd.week,45,14
573,2000,Big Punisher,It's So Hard,12/30/99 3:25,Rap,4/22/00,5/6/00,x2nd.week,87,14
808,2000,"John, Elton",Someday Out Of The Blue,12/30/99 4:41,Rock,4/22/00,5/6/00,x3rd.week,49,14
917,2000,Tamia,Can't Go For That,12/30/99 3:38,Rock,9/16/00,9/30/00,x3rd.week,84,14
434,2000,Madonna,American Pie,12/30/99 4:30,Rock,2/19/00,3/4/00,x2nd.week,35,14
484,2000,Vitamin C,The Itch,12/30/99 3:30,Rock,12/2/00,12/16/00,x2nd.week,48,14
543,2000,Jay-Z,Do It Again (Put Ya Hands Up),12/30/99 3:47,Rap,1/15/00,1/29/00,x2nd.week,68,14
563,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),12/30/99 4:22,Rap,2/26/00,3/11/00,x2nd.week,82,14
509,2000,Jay-Z,Anything,12/30/99 3:41,Rap,2/26/00,3/11/00,x2nd.week,58,14
192,2000,Jay-Z,Anything,12/30/99 3:41,Rap,2/26/00,3/11/00,x1st.week,72,14
558,2000,"Kravitz, Lenny",I Belong To You,12/30/99 4:17,Rock,3/25/00,4/8/00,x2nd.week,77,14
80,2000,Hanson,This Time Around,12/30/99 4:14,Country,4/22/00,5/6/00,x1st.week,22,14
528,2000,Usher,Pop Ya Collar,12/30/99 3:36,Rock,11/4/00,11/18/00,x2nd.week,64,14
826,2000,Jay-Z,Anything,12/30/99 3:41,Rap,2/26/00,3/11/00,x3rd.week,55,14
554,2000,"Offspring, The",Original Prankster,12/30/99 3:42,Rock,11/25/00,12/9/00,x2nd.week,71,14
532,2000,Splender,I Think God Can Explain,12/30/99 3:55,R&B,6/10/00,6/24/00,x2nd.week,66,14
533,2000,"Simpson, Jessica",Where You Are,12/30/99 3:51,Rock,4/1/00,4/15/00,x2nd.week,66,14
167,2000,Vitamin C,The Itch,12/30/99 3:30,Rock,12/2/00,12/16/00,x1st.week,86,14
535,2000,Kumbia Kings,U Don't Love Me,12/30/99 3:50,R&B,3/4/00,3/18/00,x2nd.week,64,14
536,2000,Joe,Treat Her Like A Lady,12/30/99 4:12,Rock,8/5/00,8/19/00,x2nd.week,75,14
174,2000,"John, Elton",Someday Out Of The Blue,12/30/99 4:41,Rock,4/22/00,5/6/00,x1st.week,56,14
880,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),12/30/99 4:22,Rap,2/26/00,3/11/00,x3rd.week,72,14
546,2000,"Price, Kelly",As We Lay,12/30/99 6:20,Rock,7/15/00,8/5/00,x2nd.week,69,21
542,2000,Hot Boys,I Need A Hot Girl,12/30/99 4:16,Rap,2/19/00,3/11/00,x2nd.week,75,21
297,2000,Funkmaster Flex,Do You,12/30/99 4:14,Rap,11/11/00,12/2/00,x1st.week,92,21
296,2000,"Diffie, Joe",The Quittin' Kind,12/30/99 3:23,Country,1/1/00,1/22/00,x1st.week,98,21
293,2000,Tamar,If You Don't Wanna Love Me,12/30/99 4:02,Rock,3/25/00,4/15/00,x1st.week,98,21
703,2000,504 Boyz,Wobble Wobble,12/30/99 3:35,Rap,4/15/00,5/6/00,x3rd.week,25,21
900,2000,"Levert, Gerald",Mr. Too Damn Good,12/30/99 4:06,R&B,3/18/00,4/8/00,x3rd.week,83,21
874,2000,D'Angelo,Left & Right,12/30/99 4:35,R&B,12/11/99,1/1/00,x3rd.week,75,21
872,2000,"Anthony, Marc",My Baby You,12/30/99 3:59,Latin,9/16/00,10/7/00,x3rd.week,76,21
621,2000,A*Teens,Dancing Queen,12/30/99 3:44,Pop,7/8/00,7/29/00,x2nd.week,97,21
182,2000,TLC,Dear Lie,12/30/99 4:36,Rock,2/12/00,3/4/00,x1st.week,63,21
888,2000,Yankee Grey,Another Nine Minutes,12/30/99 3:10,Country,4/29/00,5/20/00,x3rd.week,77,21
555,2000,"Anthony, Marc",My Baby You,12/30/99 3:59,Latin,9/16/00,10/7/00,x2nd.week,76,21
304,2000,A*Teens,Dancing Queen,12/30/99 3:44,Pop,7/8/00,7/29/00,x1st.week,97,21
276,2000,"Thomas, Carl",Summer Rain,12/30/99 4:57,Rock,9/23/00,10/14/00,x1st.week,82,21
529,2000,Lil' Kim,No Matter What They Say,12/30/99 4:12,Rap,7/15/00,8/5/00,x2nd.week,72,21
938,2000,A*Teens,Dancing Queen,12/30/99 3:44,Pop,7/8/00,7/29/00,x3rd.week,96,21
557,2000,D'Angelo,Left & Right,12/30/99 4:35,R&B,12/11/99,1/1/00,x2nd.week,77,21
525,2000,Sister Hazel,Change Your Mind,12/30/99 4:02,Rock,7/15/00,8/5/00,x2nd.week,67,21
524,2000,Nas,You Owe Me,12/30/99 3:51,R&B,3/25/00,4/15/00,x2nd.week,72,21
910,2000,"Thomas, Carl",Summer Rain,12/30/99 4:57,Rock,9/23/00,10/14/00,x3rd.week,86,21
273,2000,Montgomery Gentry,Daddy Won't Sell The Farm,12/30/99 4:18,Country,3/4/00,3/25/00,x1st.week,87,21
272,2000,Stone Temple Pilots,Sour Girl,12/30/99 4:16,Rock,7/8/00,7/29/00,x1st.week,79,21
816,2000,TLC,Dear Lie,12/30/99 4:36,Rock,2/12/00,3/4/00,x3rd.week,52,21
863,2000,"Price, Kelly",As We Lay,12/30/99 6:20,Rock,7/15/00,8/5/00,x3rd.week,69,21
906,2000,Stone Temple Pilots,Sour Girl,12/30/99 4:16,Rock,7/8/00,7/29/00,x3rd.week,79,21
266,2000,"Levert, Gerald",Mr. Too Damn Good,12/30/99 4:06,R&B,3/18/00,4/8/00,x1st.week,84,21
499,2000,TLC,Dear Lie,12/30/99 4:36,Rock,2/12/00,3/4/00,x2nd.week,55,21
859,2000,Hot Boys,I Need A Hot Girl,12/30/99 4:16,Rap,2/19/00,3/11/00,x3rd.week,71,21
931,2000,Funkmaster Flex,Do You,12/30/99 4:14,Rap,11/11/00,12/2/00,x3rd.week,95,21
614,2000,Funkmaster Flex,Do You,12/30/99 4:14,Rap,11/11/00,12/2/00,x2nd.week,92,21
930,2000,"Diffie, Joe",The Quittin' Kind,12/30/99 3:23,Country,1/1/00,1/22/00,x3rd.week,100,21
461,2000,No Doubt,Simple Kind Of Life,12/30/99 4:11,Rock,7/1/00,7/22/00,x2nd.week,40,21
454,2000,"Carter, Aaron",Aaron's Party (Come Get It),12/30/99 3:23,R&B,8/26/00,9/16/00,x2nd.week,75,21
613,2000,"Diffie, Joe",The Quittin' Kind,12/30/99 3:23,Country,1/1/00,1/22/00,x2nd.week,100,21
207,2000,Nas,You Owe Me,12/30/99 3:51,R&B,3/25/00,4/15/00,x1st.week,74,21
208,2000,Sister Hazel,Change Your Mind,12/30/99 4:02,Rock,7/15/00,8/5/00,x1st.week,75,21
841,2000,Nas,You Owe Me,12/30/99 3:51,R&B,3/25/00,4/15/00,x3rd.week,68,21
571,2000,Yankee Grey,Another Nine Minutes,12/30/99 3:10,Country,4/29/00,5/20/00,x2nd.week,83,21
89,2000,Avant,Separated,12/30/99 4:13,Rock,4/29/00,5/20/00,x1st.week,62,21
212,2000,Lil' Kim,No Matter What They Say,12/30/99 4:12,Rap,7/15/00,8/5/00,x1st.week,80,21
842,2000,Sister Hazel,Change Your Mind,12/30/99 4:02,Rock,7/15/00,8/5/00,x3rd.week,66,21
927,2000,Tamar,If You Don't Wanna Love Me,12/30/99 4:02,Rock,3/25/00,4/15/00,x3rd.week,92,21
778,2000,No Doubt,Simple Kind Of Life,12/30/99 4:11,Rock,7/1/00,7/22/00,x3rd.week,39,21
583,2000,"Levert, Gerald",Mr. Too Damn Good,12/30/99 4:06,R&B,3/18/00,4/8/00,x2nd.week,83,21
723,2000,Avant,Separated,12/30/99 4:13,Rock,4/29/00,5/20/00,x3rd.week,30,21
610,2000,Tamar,If You Don't Wanna Love Me,12/30/99 4:02,Rock,3/25/00,4/15/00,x2nd.week,98,21
144,2000,No Doubt,Simple Kind Of Life,12/30/99 4:11,Rock,7/1/00,7/22/00,x1st.week,50,21
254,2000,Yankee Grey,Another Nine Minutes,12/30/99 3:10,Country,4/29/00,5/20/00,x1st.week,86,21
406,2000,Avant,Separated,12/30/99 4:13,Rock,4/29/00,5/20/00,x2nd.week,32,21
69,2000,504 Boyz,Wobble Wobble,12/30/99 3:35,Rap,4/15/00,5/6/00,x1st.week,57,21
907,2000,Montgomery Gentry,Daddy Won't Sell The Farm,12/30/99 4:18,Country,3/4/00,3/25/00,x3rd.week,81,21
771,2000,"Carter, Aaron",Aaron's Party (Come Get It),12/30/99 3:23,R&B,8/26/00,9/16/00,x3rd.week,57,21
225,2000,Hot Boys,I Need A Hot Girl,12/30/99 4:16,Rap,2/19/00,3/11/00,x1st.week,77,21
589,2000,Stone Temple Pilots,Sour Girl,12/30/99 4:16,Rock,7/8/00,7/29/00,x2nd.week,79,21
846,2000,Lil' Kim,No Matter What They Say,12/30/99 4:12,Rap,7/15/00,8/5/00,x3rd.week,67,21
590,2000,Montgomery Gentry,Daddy Won't Sell The Farm,12/30/99 4:18,Country,3/4/00,3/25/00,x2nd.week,83,21
229,2000,"Price, Kelly",As We Lay,12/30/99 6:20,Rock,7/15/00,8/5/00,x1st.week,82,21
240,2000,D'Angelo,Left & Right,12/30/99 4:35,R&B,12/11/99,1/1/00,x1st.week,93,21
238,2000,"Anthony, Marc",My Baby You,12/30/99 3:59,Latin,9/16/00,10/7/00,x1st.week,82,21
593,2000,"Thomas, Carl",Summer Rain,12/30/99 4:57,Rock,9/23/00,10/14/00,x2nd.week,82,21
137,2000,"Carter, Aaron",Aaron's Party (Come Get It),12/30/99 3:23,R&B,8/26/00,9/16/00,x1st.week,99,21
386,2000,504 Boyz,Wobble Wobble,12/30/99 3:35,Rap,4/15/00,5/6/00,x2nd.week,34,21
385,2000,Jagged Edge,He Can't Love U,12/30/99 3:30,Rock,12/11/99,1/8/00,x2nd.week,32,28
236,2000,"Brooks, Garth",Do What You Gotta Do,12/30/99 2:56,Country,2/19/00,3/18/00,x1st.week,86,28
233,2000,"Blige, Mary J.",Give Me You,12/30/99 5:00,Rock,4/15/00,5/13/00,x1st.week,97,28
592,2000,Clark Family Experience,Meanwhile Back At The Ranch,12/30/99 2:56,Country,11/18/00,12/16/00,x2nd.week,86,28
