,Company Name,Job Summary,Job Title,Location,Salary Class
28,Celmatix,We seek a Senior Data Scientist with deep expertise working with large clinical datasets to join our growing statistical / machine learning team....,Senior Data Scientist,"New York, NY 10005 (Financial District area)",Low
29,AllianceBernstein,C onduct quantitative and statistical research as well as portfolio management for various investment portfolios. Collaborate with Quantitative Analysts and,AVP/Quantitative Analyst,"New York, NY 10105 (Midtown area)",Low
31,RangTech,"Web analytics, Data mining techniques application for large data. Experience in data visualization and presentation....",Data Scientist,"New York, NY",Low
32,ReWork,A mid-career data scientist - You have a successful track record leading and executing a broad range of data science projects spanning the entire project...,Data Scientist,"New York, NY 10013 (Tribeca area)",Low
33,MLB Advanced Media,"As a Senior Data Scientist at MLBAM, you will be a hands-on lead for data science in the organization. 2+ years of professional experience as a Data Scientist...",Senior Data Scientist,"New York, NY 10011 (Chelsea area)",Low
34,Aetna,"Aetnaâ€™s Consumer Health Services Clinical Analytics team is seeking a Lead Data Scientist in either our New York, NY;...",Lead Data Scientist,"New York, NY 10001 (Chelsea area)",Low
36,JPMorgan Chase,"Data Scientist - New York, NY. This includes a balance of marketing/campaign optimization, data wrangling and data science....","Digital Marketing â€“ Sr. Data Scientist - New York, NY","New York, NY",Low
37,Tilting Point,The Data Scientist will also work to ensure accurate data reporting. The Data Scientist will play a key role in analyzing data and communicating insights that...,Data Scientist,"New York, NY",Low
38,"Two Sigma Investments, LLC.","Two Sigma combines massive amounts of data, world-class. Computing power, and statistical expertise to develop sophisticated trading....",Quantitative Researcher in Machine Learning,"New York, NY",Low
39,NBCUniversal,"Help business analysts, application engineers, data scientists, etc., leverage the appropriate tools, solutions, and/or processes as part of their data mining,...","Data Engineer, Analytics Technology","New York, NY",Low
41,Weill Cornell Medical College,"When necessary de-identify data and transmit to collaborating CROs. The Advanced Imaging Data Analyst, utilizes independent judgment in prioritizing and...",Advanced Imaging Data Analyst,"New York, NY",Low
42,UtiliSave LLC,We are currently seeking a Data Scientist to join our team and expand even further the depth to which we mine data....,Data Scientist,"New York, NY 10001 (Chelsea area)",Low
43,SecurityScorecard,"Looking for a versatile, and experienced data scientist to join the Marketing team at a fast growing, and well funded cybersecurity startup located in the heart...",Data Science - Marketing,"New York, NY",Low
44,Data Inc.,Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. Seeking a Data Scientist to work on a long term consulting...,Data scientist - BC,"New York, NY",Low
45,KPMG,"Work with data scientist to identify data needs, sources, and structure to support client issues problem solving....",Big Data Analytics Business Consultant,"New York, NY 10154 (Midtown area)",Low
46,Everyday Health,"BI Data Analyst. Data pipeline, from sourcing to warehouse to final data product. Proprietary data mining technology leverages hundreds of terabytes of data to....",BI Data Analyst,"New York, NY",Low
51,AT&T,Data Scientists will usually have a Masterâ€™s; Qualified candidates may be asked to submit a Research Statement (required for Inventive Scientist applicants) and...,Senior Inventive Scientist (Labs Big Data Research),"New York, NY",Low
52,Gilt Groupe,"Machine Learning Data Scientist. Enjoy transforming raw data into features and predictors, and are experienced in statistical modeling and can robustly build,...",Machine Learning Data Scientist,"New York, NY 10016 (Gramercy area)",Low
53,Dataminr,"You're a dedicated data scientist who wants nothing more than to help us sort, analyze and deliver relevant information from terabytes of unstructured data in...",Data Scientist,"New York, NY",Low
54,Oscar Insurance,"The data engineering team is responsible for the systems that process, store, and serve our data. Is naturally fluent at working with messy data and knows what...",Software Engineer: Data,"New York, NY 10012 (Little Italy area)",Low
55,NYU Langone Medical Center,May develop protocol for the collection and quality of research data. We have an exciting opportunity to join our team as an Associate Research Scientist....,Associate Research Scientist,"New York, NY",Low
56,Voya Financial,Proactively uncover and resolve data and calculation issues. Maintain and expand the internal data warehouse from which the analytics are generated....,Quantitative Analyst,"New York, NY",Low
58,The Nielsen Company,Able to synthesize data & simplify findings by creating reports through charts/graphs. Assist and network with industry leading clients to simplify their data...,Research Analyst,"New York, NY 10003 (Greenwich Village area)",Low
59,PulsePoint,"3+ Years as a Data Scientist, preferable in the Digital Advertising/Media Space. Experience in data product development....",Sr. Data Scientist,"New York, NY",Low
61,PlaceIQ,"Experience with Hadoop/Big Data paradigms. From building data pipelines to regression models/classification algorithms, complex data visualizations to...",Data Engineer,"New York, NY",Low
65,Capital Group,"As a Senior Data Scientist based in New York, you are outgoing, curious, interdisciplinary analytics expert to focus on mathematical models and algorithm...",Senior Data Scientist,"New York, NY 10111 (Midtown area)",Low
67,EY,FIDS - Forensic Technology & Discovery Services - Data Scientist Manager. The role of the Forensic Technology & Discovery Services (â€œFTDSâ€ù) Data Scientist...,FIDS - Forensic Technology & Discovery Services - Data Scien...,"New York, NY",Low
68,Kabbage,"What it takes to be a Data Scientist at Kabbage. A day in the life of a Data Scientist at Kabbage. Work with multiple, complex data sources such as financial...",Data Scientist,"New York, NY 10001 (Chelsea area)",Low
69,Preqin,"The focus of a research analyst is on the compilation of data and written profiles, as well as the production of accurate and high quality analysis, both of...",Research Analyst,"New York, NY",Low
72,Access Staffing,"Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. Hands-on knowledge in Data Science and Statistical concepts,...",Data Scientist,"New York, NY 10017 (Midtown area)",Low
73,Schrodinger,"Data management in the Life Sciences. An engineer, developer, and/or scientist that loves solving practical problems....","Solutions Architect, Enterprise Informatics","New York, NY",Low
74,Gerson Lehrman Group,"Historical experience and competency in Compensation and Data analytics. Own the data and operations of Jobvite, our Applicant Tracking system, which includes...","Manager, HR Data and Analysis","New York, NY",Low
75,Connections of New York,"Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. Hands-on knowledge in Data Science and Statistical concepts,...",Data Scientist,"New York, NY",Low
76,Infinity Consulting Solutions,Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. Top Tier Investent Bank is seeking a Data Scientist to work on...,Data Scientist,"New York, NY",Low
79,Stonehenge Inc,Company is looking for a talented and motivated data scientist and analytics developer to help provide business insight from our data assets and provide new...,Data Scientist,"Rockville Centre, NY",Low
80,KUONI,"Ability to aggregate data and format in a visually presentable way in MS Excel, Powerpoint, Word. Generate reports from GTA databases (Atlas, Sales Force,...",Quantitative Business Analyst,"New York, NY",Low
82,Northwell Health,Trains staff on data capture and data entry. Analyzes and trends data. Extracts patient clinical data from medical records or other sources containing patient...,Data Research Analyst,"Great Neck, NY",Low
83,Access Staffing,"Hands-on knowledge in Data Science and Statistical concepts, hands on excellent development skills in Spark, Python, Perl, hands on knowledge on Hadoop file...",Data Scientist - We cannot us subcontractors,"New York, NY 10017 (Midtown area)",Low
84,"Liebowitz Law Firm, PLLC","Young, Long Island law firm seeks self-motivated individuals who thrive in a fast-paced environment. Responsibilities:  - Perform investigative research",Research Analyst - Entry Level,"Valley Stream, NY",Low
85,MLB Advanced Media,"Undergraduate (Bachelors) degree with (1) year of experience in data research, predictive modeling, statistical analysis, data transformation and / or other...",Statistical Analyst,"New York, NY 10011 (Chelsea area)",Low
86,Selby Jennings,"The ideal Data Scientist. As the Data Scientist, you will be working on an Enterprise Security Platform amongst a team of other Data Scientists....",Data Scientist/Machine Learning â€“ Contract,"New York, NY 10167 (Midtown area)",Low
87,High 5 Games,Managing a team of data scientists. The Senior Data Scientist will be responsible for:. As a Senior Data Scientist you will be collaborating across the...,Senior Data Scientist,"New York, NY 10007 (Financial District area)",Low
89,Crisis Text Line,"Chief Data Scientist. The ideal candidate will be equal parts data scientist, academic research manager, and social change-maker....","Data Scientist, Open Data Collaborations","New York, NY",Low
90,Memorial Sloan Kettering,"MSK Data Products, within Strategy and Innovation, is a multidisciplinary team of designers, software engineers and data scientists working inside MSK....",Data Scientist VI,"New York, NY",Low
91,Tier1 IT,Work with Data Scientists to process video data in ways that are meaningful for our publishers. Backend Data Engineer....,Backend Data Engineer,"New York, NY",Low
92,Bluecore,Data Science and Marketing. Weâ€™re looking for a highly motivated data scientist to join Bluecore at the intersection of two teams:....,Data Scientist,"New York, NY 10002 (Lower East Side area)",Low
93,"Open Systems Technologies, Inc.",Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. Strong knowledge of Data Science and Statistics....,Data Scientist,"New York, NY",Low
94,CAPCO,Capco is looking for Senior Data Scientists. And rewarding role as a Senior Data Scientist. A team of data scientists and work with business sponsors and...,Senior Data Scientist,"New York, NY 10271 (Financial District area)",Low
97,SKIM,Are you seeking an analytically challenging market research position in a global team? Do you have a strong quantitative background and a passion for,Quantitative Research Analyst- Healthcare,"New York, NY",Low
98,Mitchell Martin,Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. This is an opening to fill a Data Scientist consulting position...,Data Scientist,"New York, NY 10019 (Midtown area)",Low
100,IPG Mediabrands,Present findings and back up recommendations with hard data. Brainstorm new ways of utilizing data to determine valuable business insights....,"Reprise - Statistical Analyst, SEO","New York, NY",Low
101,NBCUniversal,"About Us NBCUniversal is one of the worldâ€™s leading media and entertainment companies in the development, production, and marketing of entertainment, news,",Research Analyst,"New York, NY",Low
102,Columbia University,"It is expected that the applicant will present his/her laboratory data at regular data meetings, review papers for journal club, present in local seminars, send...",Associate Research Scientist,"New York, NY",Low
105,Enigma,We value data scientists who can quickly implement elegant solutions to complex problems. As a Senior Data Scientist with the Analytics group your contributions...,Senior Data Scientist,"New York, NY",Low
107,Human Capital Consultants,"Analyst - Data Analytics and Artificial Intelligence (Boston, New York, Amsterdam, or Singapore). Relevant expertise in machine learning, statistics, data...",Data Analytics and Artificial Intelligence Research Analyst,"New York, NY",Low
108,Skillshare,We are seeking our first Data Scientist to join the team and own our analytics. 3+ years of experience working in data science....,Data Scientist,"New York, NY",Low
109,S&P Global Ratings,"Exposure to one or more data discovery, data visualization tools. Developing predictive algorithms based on historical data....",Director - Innovation Lab Data Scientist,"New York, NY 10002 (Lower East Side area)",Low
110,"Open Systems Technologies, Inc.","A solid understanding of data structures, algorithms, and object-oriented design concepts. The candidate will focus on developing machine learning models and...",Machine Learning Developer,"New York, NY",Low
111,Citi,"Data analysis and present to desk. Citi, the leading global bank, has approximately 200 million customer accounts and does business in more than 160 countries...",Global Credit Quantitative Analyst,"New York, NY",Low
112,Columbia University,"He/she will perform project-specific tasks with post-doctoral scientists and fellows/clinicians, help with data management and back-up and assist with...",Data Analyst - Cardiology,"New York, NY",Low
113,NYC Department of Buildings,"Translating quantitative data, research findings, and insights into compelling and informative graphic materials (e.g., charts, graphs);...","Quantitative Data Analyst, Risk Management","Manhattan, NY",Low
116,Aptask,Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. This is an opening to fill a *Data Scientist*....,Data Scientist with Financial Exp_W2,"New York, NY",Low
117,S&P Global Ratings,Research and resolve data maintenance requests related to Corporate & Government and Structured Finance ratings data....,Statistician,"New York, NY 10002 (Lower East Side area)",Low
119,WWE,"The Data Scientist will assist in managing and analyzing WWE digital assets such as the WWE.com site, multiple affiliate sites, and various mobile apps....",Data Scientist,"New York, NY",Low
120,NBCUniversal,"He/she will work with cross functionally in the planning, creation and communication of trends and insights through data analysis and storytelling....","Senior Analyst, Strategic Research & Insights","New York, NY",Low
121,NYU Langone Medical Center,"Link crash data to exposure data, emergency department and hospitalization outcomes, neighborhood-level built environment and socioeconomic variables, as well...",Senior Data Analyst,"New York, NY",Low
122,Simulmedia,Work closely with product managers and data scientists to develop measurement methodology. 5+ years of experience working with data....,Business Intelligence Engineer,"New York, NY 10012 (Little Italy area)",Low
123,Rockstar New York,The successful candidate will both define data which should be captured in future states and analyze existing data in order to isolate patterns of bad activity....,Security Data Scientist,"New York, NY",Low
124,Gemological Institute of America,Experience leading a high-performing team of data scientists. Investigates opportunities for data mining and statistical inference from large data sets....,"Manager, Data Science","New York, NY 10065 (Upper East Side area)",Low
125,Poise Inc,"Data Scientist | NY*. Our client is looking for a senior data scientist for our first-of-its-kind sales analytics platform, which combines a proprietary, active...",Data Scientist,"New York, NY",Low
126,1199SEIU Family of Funds,Prepare data requests and reports. Manage and review payroll postings to ensure they are entered accurately and efficiently....,Research Analyst,"New York, NY",Low
127,TalentHub Worldwide,The Data Scientist assists in creating and maintaining data infrastructure for gathering multiple sources of data into a single data hub for the generation of...,Data Scientist,"New York, NY 10017 (Midtown area)",Low
129,Daytal,"Extract, aggregate and synthesize data from diverse structured and unstructured data sources. Identify and develop new data driven product features and enhance...",Data Scientist,"New York, NY",Low
130,Fidelity Investments,Working with data across a multitude of sources the Data Scientist will:. Proven experience working with big data and real time/near real time analytics and big...,Data Scientist - Collateral Analysis,"Jersey City, NJ 07306 (Journal Square area)",Low
131,Princeton Information Ltd,This is an opening to fill a Data Scientist consulting position for Enterprise Security Platform. Knowledge of current trends in Big Data frameworks and Data...,Data Scientist,"New York, NY 10004 (Financial District area)",Low
132,Amazon Corporate LLC,"You will apply your knowledge about data science by creating algorithmic solutions that combine techniques like clustering, pattern mining, predictive modeling,...",Applied Scientist,"New York, NY",Low
133,Columbia University,Executes the field-going operations with supervising scientist. Maintains ongoing data collection for long-term remote operations....,SENIOR RESEARCH STAFF ASSISTANT,"New York, NY",Low
134,Xaxis,"Xaxis combines proprietary technology, unique data assets and exclusive media relationships with the brightest team of audience analysts, data scientists and...","Analyst, Strategy and Investment","New York, NY",Low
135,DEPT OF HEALTH/MENTAL HYGIENE,"Experience utilizing mixed methods, including qualitative data; The Research Scientist will report to Research and Evaluation staff....","Data Analyst, Bureau of Chronic Disease Prevention and Tobac...","Queens, NY",Low
136,Vine,"Design and evaluate novel approaches for handling high-volume real-time data streams. Work with large unstructured and structured data sets (multi-terabyte+,...","Software Engineer, Recommendations & Machine Learning","New York, NY",Low
137,JW Player,Ability to think abstractly and nontraditionally about data trends & implications with an exceptional attention to detail....,Internship: Sales & Marketing Data Analysis,"New York, NY 10018 (Clinton area)",Low
138,"Two Sigma Investments, LLC.","Analysts, Data Scientists, Traders, and Quantitative Software Engineers. Actively collecting, interpreting, and distributing useful market data and intelligence...","Recruiter, Quant Research & Trading","New York, NY",Low
139,Bed Bath & Beyond,Is looking for a Data Scientist with a strong passion for turning large data into actionable insights that drive improved business performance....,Data Scientist,"Union, NJ 07083",Low
140,Capital One,"Senior Data Scientist. Writing software to clean and investigate large, messy data sets of numerical and textual data -Integrating with external data sources...",Senior Data Scientist,"New York, NY",Low
144,DEPT OF PARKS & RECREATION,"Serve as an expert in translating complex data into valuable actions, delivering insights through data visualizations and reports accessible to a wide variety...",Data Scientist,"Manhattan, NY",Low
145,Polaris Management,"Analyze and collect data, present and defend findings. Polaris is seeking a Global Regulatory Research Analyst whose focus will be to maintain up-to-date...",Global Regulatory Research Analyst,"New York, NY",Low
147,Axelon Services Corporation,Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. This is an opening to fill a Data Scientist consulting position...,Data scientist,"New York, NY",Low
148,United Nations,"A minimum of ten years of progressively responsible experience level in the collection, compilation, analysis and dissemination of statistical data or related...",Senior Statistician,"New York, NY",Low
150,ASCAP,"The Lead Data Scientist will work collaboratively to design the next generation of unique data capabilities on behalf of ASCAP members, licensees and executives...",Lead Data Scientist,"New York, NY",Low
151,UncommonGoods,"Weâ€™re looking for a passionate Data Analyst that can rigorously analyze data and translate it into actionable insight that informs product, marketing, and...",Junior Data Scientist,"New York, NY 10014 (West Village area)",Low
152,Applecart,"Senior Data Scientist. We are looking for an experienced, inventive data scientist to help lead our rapidly growing start-upâ€™s internal data science team....",Senior Data Scientist,"New York, NY",Low
153,OUTFRONT media,The Data Scientist role will also use the data to drive independent thinking and questions to better inform and enable the business to make changes ahead of the...,Data Scientist,"New York, NY",Low
154,"AbilTo, Inc","Data & Analytics Team. Data & Analytics team culture:. As a Data Scientist at AbilTo, you will work in a uniquely cross-functional capacity, helping teams...",Data Scientist,"New York, NY 10018 (Clinton area)",Low
155,Everyday Health,"Synthesize data from. Market research survey data. Survey data sets to mine actionable insights. And reporting survey data, including frequencies, crosstabs,...",Market Research Analyst,"New York, NY",Low
156,Varick Media Management,"The primary task for the Data Scientist role is to leverage our vast experience in programmatic trading, along with our various data sources and drive the...","Data Scientist - (NEW YORK, NY)","New York, NY",Low
157,Columbia University,"As an integral member of the team, the Associate Data & Research Analyst focuses on data mining; This includes working with large data sets, and understanding...",Associate Data and Research Analyst,"New York, NY",Low
159,Intersection,"This person will hire, manage, train and retain a team of data scientists. The data analytics manager will be responsible for aggregating, reporting and...",Data Analytics Manager,"New York, NY",Low
160,bnchmrk,"Bnchmrk is seeking a talented Data Scientist to join our Product Team, located in northern New Jersey. This Data Scientist will need to have a background in...",Data Scientist,"Edgewater, NJ",Low
161,JPMorgan Chase,"1,000,000 data points and more). Experience working with big data (e.g. Synthesize large amounts of information and data quickly....",J.P. Morgan Chase Institute Markets Research Analyst - New Y...,"New York, NY",Low
162,JW Player,Work with Data Scientists to process video data in ways that are meaningful for our publishers. The Data Team at JW Player is responsible for processing all of...,Data Engineer,"New York, NY 10018 (Clinton area)",Low
164,Integral Ad Science,We are seeking a Senior Data Scientist to join our team in New York City. Drive the collection of new data and the refinement of existing data sources....,Senior Data Scientist,"New York, NY 10003 (Greenwich Village area)",Low
165,Guidepoint Global,Research experience or data management. Guidepoint gives professionals more confidence in their investment and strategic decisions by connecting them to...,Healthcare Research Analyst,"New York, NY",Low
166,Connections of New York,"We are looking for a data scientist with a passion for education and e-learning, to lead the development of a curriculum for data science and analytics....",Data Science Instructor,"New York, NY",Low
168,Fitch Ratings,The model validation team within Credit Policy Group is looking for a quantitative analyst to work on model validation related projects. This is a temporary,Quantitative Analyst,"New York, NY",Low
169,Elevate Recruiting Group,"Machine Learning, Data Mining. Making use of the Data Warehouse, which is one of the media industrys largest data warehouse environments....",Data Scientist,"New York, NY",Low
170,Smith Hanley Associates,"As a Data Scientist, you will:. We are looking for Data Scientist to join the team in our New York City office....",Data Scientist,"New York, NY",Low
171,Memorial Sloan Kettering,You are comfortable with or interested in working with and organizing large amounts of data. Our extraordinary scientists and clinicians work together to drive...,Research Study Specialist,"New York, NY",Low
172,Alcatel-Lucent,"1 year(s) of iOS mobile application development, including Xcode, iOS SDK, Swift , core data OR 1 year(s) of experience with Javascript, REST interfaces, XML,...",Software Developer - Fall Intern,"Murray Hill, NJ",Low
173,RBC,". What is the opportunity? A role as a Quantitative Analyst in the Fixed Income and Currencies Team with a focus on researching, developing and implementing",Quantitative Analyst,"New York, NY",Low
174,Morgan Stanley,"Proficiency working with large datasets, data mining, statistical methods, numerical methods, algorithm design and implementation....",Data Scientist / Modeler,"New York, NY 10032 (Washington Heights area)",Low
175,Selby Jennings,"Data Scientist Global Private Asset Management Firm Manhattan, New York, USA Circa $100,000 - $200,000 plus Bonus and Benefits Key Skills: Python, R,",Data Scientist,"New York, NY 10167 (Midtown area)",Low
176,Northwell Health,"As an Applications Analyst, you will participate in the design, development and implementation of healthcare applications. In this role, you will serve as an","Applications Analyst (R Programming, Data Analysis & SQL ski...","Manhasset, NY",Low
177,Celmatix,"Build, support and maintain data warehouse environments. Deep knowledge in data mining or information retrieval....",Data Engineer,"New York, NY 10005 (Financial District area)",Low
178,Bloomberg,"Evaluate cutting-edge big data technologies/software (e.g. Strong Computer Science fundamentals (algorithms, data structures)....",Senior Data Engineer for Search and Discoverability Team,"New York, NY",Low
179,Park Hudson International,Knowledge of current trends in Big Data frameworks and Data pipeline architecture is preferred. Qualifications Hands-on knowledge in Data Science and...,Data scientist,"New York, NY 10123 (Chelsea area)",Low
180,Kaplan,Metis Senior Data Scientists provide incredible and inspiring Data Science instruction; We are looking for Senior Data Scientists to be part of the Metis Data...,Senior Data Scientist,"Chicago, IL",Low
181,Chicago Cubs,"Analytics, data, big data, analytical, analytic, data scientist. Intermediate to advanced programming skills enabling the individual to extract and manipulate...","Assistant Director, Advanced Analytics","Chicago, IL",Low
183,Brad's Deals,Bradâ€™s Deals is looking for an experienced data scientist to join our team. Develop recommender systems based on behavioral data....,Data Scientist,"Chicago, IL",Low
185,Workbridge Associates,"Data, Analytics, Scientist, Science, Python, R, SAS, SQL, Hadoop, Tableau, Analysis, Healthcare, Hospital, University, Career, Job, Chicago, IL,....",Mid-Level Data Scientist,"Chicago, IL",Low
186,"Vizient, Inc.","Conducts exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities....",Data Scientist,"Chicago, IL",Low
187,Etech Hi Inc.,Create annual/quarterly reports to monitor data quality and provide descriptive reports on datasets. Provide statistical consulting for the development and...,Statistician,"Chicago, IL",Low
188,"Vail Systems, Inc.","Weâ€™re looking to add a data scientist to our real-time analytics team. As a data scientist, youâ€™ll be analyzing and experimenting with interaction data to find...",Data Scientist,"Chicago, IL 60606 (Loop area)",Low
189,Centro,We are seeking a talented Data Scientist who can help transform the data created from these activities into actionable information....,Data Scientist,"Chicago, IL",Low
190,Cognizant,"In addition, the Data Scientist must be able to access data from disparate systems, link, cleanse and integrate data, and create data sets to answer specific...",Data Scientist â€“ People Analytics,"Chicago, IL",Low
191,Technocraft,Data Scientist with Neural Network and AI:. NEED LOCAL US CITIZEN OR GREEN CARD ONLY (FACE TO FACE INTERVIEW)*....,Data Scientist (USC/GC only),"Chicago, IL",Low
192,Technocraft solutions LLc,Data Scientist with Neural Network and AI:. NEED LOCAL US CITIZEN OR GREEN CARD ONLY (FACE TO FACE INTERVIEW)*....,Data Scientist (USC/GC only),"Chicago, IL",Low
194,Conversant Media,Alliance Data will. Alliance Data is an. Experience with large data sets. Epsilon is an Alliance Data company....,Data Scientist,"Chicago, IL 60606 (Loop area)",Low
195,Alliance Data,"Experience with large data sets. Epsilon is an Alliance Data company. As a Data Scientist in our Decision Sciences R&D organization, you will research and build...",Data Scientist,"Chicago, IL 60601 (Loop area)",Low
196,Gallup,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources â€” especially...",Data Scientist â€“ Predictive Analytics,"Chicago, IL",Low
197,BMW Technology Corporation,Carry out the research on context data intelligence that will impact the research communities around data and computing....,Machine Learning Researcher - BMW Technology Corporation,"Chicago, IL",Low
198,Eyeview,"Aptitude in displaying and communicating data analysis. Eyeview is looking for a Data Scientist, Campaign Insights to work with the sales and analytics teams to...","Data Scientist, Campaign Insights","Chicago, IL",Low
199,InContext Solutions,Are you passionate about mining insights from large amounts of data? Your work will support new business development through the contribution and evaluation of...,Data Scientist,"Chicago, IL",Low
200,BMO Financial Group,"Data processing and reconciliation. Data warehousing, cubing, multi-dimensional analysis. Data flow analysis (ERDs, Mapping, Tracing, etc.)....",Data Analysis Auditor,"Chicago, IL",Low
201,Workbridge Associates,Big data with Hadoop is a plus. A well-respected healthcare corporation that spun off of a major hospital and university is hiring for a Mid-Level Data...,Data Scientist,"Chicago, IL",Low
202,Raise Marketplace Inc.,"Knowledge of data warehouse, data model design and implementation. Pull reports and model data from Raiseâ€™s customized BI platform and data warehouse....",Data Analyst,"Chicago, IL 60603 (Loop area)",Low
203,Abbott Laboratories,"The Principal Scientist:. Presents complex technical data to large and diverse groups. Coaches lower-level scientists (e.g., presentation skills, negotiation...",Principal Scientist,"Des Plaines, IL",Low
204,Northwestern University,Position: Temporary Part-time Research Analyst Hours: This is a part-time position ( 15 hours per week/ M-F) Pay: $15.00 per hour Campus: Evanston,Temporary - Part-time Research Analyst,"Evanston, IL",Low
205,Kemper Corporation,Document data sources and definitions and ensure data accuracy. In this role your expertise will assist the Kemper team at making data driven decisions:....,Associate Data Scientist,"Chicago, IL",Low
206,Amyx,"Amyx is seeking to hire a Data Scientist in Chicago, IL. Seeking a Senior Data Scientist with experience and knowledge of analytics to solve large-scale,...",Data Scientist,"Chicago, IL",Low
208,Hyatt,At least 3 years of professional experience as a Data Scientist. The Data Scientist â€“ Analytics will join a team that is on an upward trajectory to enhance...,Data Scientist â€“ Analytics,"Chicago, IL",Low
210,Grubhub,"Informal understanding of data structures and computational complexity. Mine experiment data for issues and unidentified wins, then automate and develop tooling...",Data Scientist,"Chicago, IL 60602 (Loop area)",Low
211,United Airlines,"Now taking off: Your career Where do you want your career to take you? Chances are you can get there with United Airlines. Our environment is open, honest,...",Senior Analyst - Statistics and Operations Research,"Chicago, IL",Low
212,Allstate Insurance,Manages data and data requests to improve the accuracy of our data and decisions made from data analysis. The Data Scientist family is accountable for using...,Senior Telematics Data Scientist,"Chicago, IL 60601 (Loop area)",Low
213,DRW Trading Group,"Develop data analysis tools to enhance existing algorithms and optimize the trade exploration process. DRW is a principal trading organization, meaning all of...",Quantitative Researcher: Machine Learning,"Chicago, IL",Low
